Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"105","AUROPHARMA","Aurobindo Pharma","1426.10","-16.10","-1.12","75","73","70","D+","32","83763.26","1664570","1167218","-10.42","72.79","-59.73","-4.49","14.78","56.00","66.00","-","Medical-Generic Drugs   ",
"106","IGARASHI","Igarashi Motors India","670.10","-32.50","-4.63","75","47","72","A-","42","2211.43","108958","162600","-15.41","74.78","-56.50","3.34","28.08","83.00","83.00","-","Auto/Truck-Original Eqp ",
"107","GENUSPOWER","Genus Power Infr.","391.80","-5.30","-1.33","75","80","73","B+","47","12066.12","506499","1292749","-17.78","94.18","-55.94","-3.98","22.36","59.00","70.00","-","Electrical-Power/Equipmt",
"108","SIGNATURE","Signatureglobal (India) Ltd","1370.10","-35.45","-2.52","75","74","78","A-","84","19749.52","963401","703161","-16.81","173.99","-42.72","-6.55","3.11","41.00","46.00","2023-09-27","Bldg-Resident/Comml     ",
"109","523676","Golkunda Dias.& Jewelr.","246.95","-6.30","-2.49","75","99","79","A","93","176.36","2527","10233","-18.74","158.42","-46.80","1.88","27.90","77.00","83.00","-","Retail/Whlsle-Jewelry   ",
"110","543939","Kaka Industries Ltd","285.15","-9.35","-3.17","75","5","80","B-","75","402.29","10921","38300","-13.06","98.92","-16.45","6.59","34.44","83.00","86.00","2023-07-19","Metal Proc & Fabrication",
"111","OAL","Oriental Aromatics","555.00","-34.05","-5.78","75","67","81","A-","80","1982.39","42035","75738","-9.02","101.04","95.83","14.22","44.33","91.00","90.00","-","Cosmetics/Personal Care ",
"112","NEWGEN","Newgen Software Techs","1238.45","-29.85","-2.35","75","93","82","C-","23","17793.23","532230","429755","-20.00","135.07","-54.26","6.14","32.13","84.00","82.00","2018-01-29","Comp Sftwr-Spec Enterprs",
"113","532067","3B BlackBio Dx Ltd","1375.00","22.00","1.63","75","82","83","B+","62","1161.28","7928","5766","-11.29","105.00","19.86","-2.68","32.14","73.00","83.00","-","Chemicals-Agricultural  ",
"114","JCHAC","Johnson Contr.","2020.00","-174.40","-7.95","75","66","83","B-","29","5966.79","168658","83494","-22.90","130.66","33.43","0.18","34.96","66.00","81.00","-","Hsehold-Appliances/Wares",
